"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Prisma", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\app.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\app.js", "JavaScript", 0, 0, 0, 0, 19, 0, 1, 0, 20
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\env.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\env.js", "JavaScript", 0, 0, 0, 0, 1, 0, 29, 0, 30
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\prisma.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 0, 8
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\prisma.js", "JavaScript", 0, 0, 0, 0, 14, 0, 1, 0, 15
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\resend.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\resend.js", "JavaScript", 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\browser.d.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 65, 0, 85
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\browser.js", "JavaScript", 0, 0, 0, 0, 4, 0, 14, 0, 18
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\client.d.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 80, 0, 104
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\client.js", "JavaScript", 0, 0, 0, 0, 12, 0, 26, 0, 38
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\commonInputTypes.d.ts", "TypeScript", 0, 0, 540, 0, 0, 0, 1, 0, 541
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\commonInputTypes.js", "JavaScript", 0, 0, 0, 0, 1, 0, 10, 0, 11
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\enums.d.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 1, 0, 39
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\enums.js", "JavaScript", 0, 0, 0, 0, 32, 0, 10, 0, 42
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\class.d.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 216, 0, 298
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\class.js", "JavaScript", 0, 0, 0, 0, 38, 0, 12, 0, 50
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespace.d.ts", "TypeScript", 0, 0, 1652, 0, 0, 0, 231, 0, 1883
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespace.js", "JavaScript", 0, 0, 0, 0, 193, 0, 47, 0, 240
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespaceBrowser.d.ts", "TypeScript", 0, 0, 199, 0, 0, 0, 16, 0, 215
